LotArea,OverallQual,OverallCond,YearBuilt,GrLivArea,GarageCars,SalePrice
16132,2,6,1977,3071,0,524100
11840,9,5,1989,3845,2,802805
11688,9,3,1997,2071,3,617472
14423,3,10,2016,2965,3,590823
2013,5,5,1965,2221,3,483806
12559,8,8,1978,4122,1,794467
17505,3,2,1993,2824,4,584548
12983,2,4,2020,3042,1,561418
8525,3,1,1978,878,1,270404
4386,8,7,1959,2092,3,535097
15095,4,3,1979,545,0,272892
15931,4,3,1954,4743,3,771298
10165,2,8,1959,1592,3,347610
19404,9,10,1985,3099,3,749167
18540,7,9,1977,4152,1,797328
17554,8,5,2023,2525,2,675656
19081,8,4,1981,2749,3,663461
11362,4,5,2002,3251,2,631568
19699,2,3,1962,1735,1,364948
7007,4,2,2005,3898,3,693623
19780,8,7,2004,1010,1,474532
15767,7,10,2009,660,4,419165
17629,1,6,1962,2946,3,516972
15730,9,9,2001,2306,3,643400
10943,7,8,1963,737,3,364683
15248,3,8,1974,1545,4,401846
2883,7,10,2018,722,0,355750
16044,3,8,1967,1988,0,394816
14422,6,4,1973,4224,2,766605
14423,5,7,2009,2566,0,550300
2635,9,1,1959,3366,1,691828
4248,1,1,2020,2525,1,450743
2667,10,3,1956,2454,1,598298
5748,10,4,1961,4309,2,855253
14087,3,10,1971,1438,1,338813
5542,10,1,2012,3055,4,767521
14298,7,4,1977,1122,4,457764
9957,2,5,1957,1491,4,350536
3345,6,9,1998,4009,2,716274
18579,6,1,1999,3941,3,771815
16205,6,8,2008,1753,3,508146
19096,5,10,2004,4908,3,875680
16272,10,5,1969,3140,1,742537
4839,5,8,1987,2497,3,534429
14418,6,1,1957,4549,2,789192
17976,4,6,1990,2616,2,545011
11052,9,1,1956,4732,1,860101
9908,7,8,2014,2468,3,620248
18083,8,1,1957,1262,2,457050
15251,4,5,1973,3523,3,653549
19397,6,7,1958,3209,2,658202
16868,5,5,2001,2559,1,551937
8310,6,2,2022,4889,1,851486
9090,8,5,2024,4797,4,931883
5294,4,5,1960,2363,2,449821
11904,1,9,2024,1536,2,340223
3786,9,5,1983,1534,3,498699
2401,10,5,1990,4345,3,873536
13164,3,1,1983,2568,3,503290
4141,7,8,1966,1106,4,412568
3756,3,3,2008,2989,0,512980
5881,9,7,1959,2348,4,603567
16762,8,5,2008,4012,2,833258
3973,10,2,1959,2202,1,568030
4660,3,4,2014,1923,4,434399
7129,1,7,1966,4190,4,636885
11543,1,4,1958,2860,2,469264
16877,2,4,1997,2667,4,540936
8482,7,2,1970,4961,1,858987
6882,5,3,2019,1084,0,349862
12079,10,10,2017,2864,3,733591
17358,5,7,2020,2730,4,637868
18180,8,2,1963,826,3,438129
12561,10,5,1983,711,0,419404
2679,5,10,1963,829,1,280334
19005,8,5,1984,1986,4,597318
18112,2,8,1976,3350,3,585057
12520,2,3,1976,3201,3,564710
18235,5,7,2014,800,3,377290
12306,5,6,1982,1449,3,437739
18862,1,9,1961,4284,3,652742
8146,9,6,1985,4583,3,900301
3691,4,5,1950,4999,1,744891
16356,8,2,1966,736,4,438379
9841,3,5,1970,612,4,267832
5054,4,2,2020,4280,0,719986
7045,8,5,2021,4668,2,888209
17810,8,4,1964,4241,4,839289
14569,4,10,1969,4663,1,768779
4287,5,7,1997,3284,4,637795
2084,5,5,2005,4511,1,755704
19648,8,6,1955,3223,4,734701
19807,7,8,1996,3136,1,693396
9825,10,7,1995,2413,3,653965
12426,8,7,1981,3662,1,741248
3213,3,9,1995,3219,0,546064
16427,2,9,1969,4243,0,657814
6723,7,3,1970,1112,3,419718
10684,6,10,2002,3756,0,712282
12766,9,7,1972,3094,3,728264
19728,1,10,2002,1060,1,295665
11416,4,2,1984,4055,0,686963
5293,8,3,1963,2953,0,595646
12629,1,5,1954,3436,2,529019
6770,4,9,1978,3875,4,688551
7900,3,3,2008,1146,4,372655
14535,10,4,1989,4576,4,939614
9608,8,5,1978,4264,2,821255
2307,8,5,1974,4977,1,850281
16474,6,10,1992,2950,3,655642
10195,8,5,1958,2131,3,569167
17833,2,4,1994,3624,4,646341
11695,5,1,2018,3742,2,702290
3607,10,8,1953,2844,1,647393
13544,4,4,1983,2553,1,518978
5183,1,5,2024,4111,0,624560
13955,3,2,1954,2917,2,532598
15615,3,4,2005,1582,4,445404
13988,9,9,1990,2732,1,657724
17789,5,6,2015,1443,3,453994
6612,4,7,1999,3496,0,615965
14929,1,5,1982,4895,0,710189
14077,5,10,2005,3621,2,683301
9661,8,1,2016,3187,4,733976
4071,8,5,1996,3844,0,727373
3485,1,5,1958,4535,0,601739
9693,9,3,1990,3683,3,789696
19701,7,10,1988,1765,3,543763
5244,8,10,2002,3843,2,753564
14141,4,8,2001,4142,1,731294
13884,2,6,2020,4960,2,780836
15046,5,4,1974,1500,3,421341
8950,10,1,1998,914,2,471411
6126,10,4,2022,1062,4,521206
9076,4,6,2001,1708,4,433080
11085,3,3,1988,4925,2,793320
7717,2,1,1976,1579,0,309669
9796,10,6,2024,629,1,446763
3717,3,7,2009,4809,0,746364
4082,8,8,2006,3465,4,751299
5573,8,9,2015,2314,4,606319
19086,5,8,1971,755,0,316353
15160,7,2,1986,4516,3,843608
4647,6,10,1961,1715,0,392676
11011,10,10,1989,4992,2,959754
19385,5,8,1975,4641,4,833171
5249,2,9,1953,2261,3,400763
9487,7,6,1981,4215,3,795692
5115,6,7,1959,3060,2,587510
7001,8,2,2003,1247,0,430097
16151,2,6,1999,1565,4,387418
12801,2,7,2001,3396,3,612668
3685,5,10,1968,3059,2,554929
18626,4,3,1963,4450,1,753541
5546,6,9,1978,3511,0,645847
11128,10,4,2016,4015,4,904131
2860,10,5,1956,737,1,385274
12124,6,6,1965,550,1,316875
6694,10,7,1967,1070,1,459862
3004,2,9,2017,2262,3,444309
16865,6,3,2006,3531,2,730260
12629,10,10,2020,1195,0,502385
7158,10,1,1970,1168,2,480653
15894,8,10,2007,4121,3,842753
9063,9,2,1981,3327,3,729862
11281,10,8,2016,4816,2,951051
9225,7,10,1980,948,0,357133
11876,4,3,2006,2593,2,539839
5931,1,8,1986,4027,1,582066
14458,9,4,1984,4598,4,935641
13605,2,7,1990,846,3,272449
17065,2,6,1967,4016,4,669967
15686,5,2,1979,3818,0,678060
7631,10,8,1969,3464,0,729083
5468,4,7,1958,3780,4,638481
14968,5,6,2002,2315,2,550834
7509,2,9,2019,1434,4,375017
8353,6,6,2003,1709,1,449907
6798,5,4,1976,1921,4,462723
4469,3,8,1999,4300,4,727506
16709,10,10,2023,3147,2,775113
16410,2,8,2011,4122,2,703764
11000,10,1,1995,3383,4,789891
12171,8,8,1999,808,0,395755
11406,2,2,2018,4653,3,762140
3344,8,10,2012,2042,2,558496
17585,9,3,1984,1006,3,478566
13253,2,9,2012,1913,0,387537
16344,8,9,1999,4782,4,925773
13924,6,5,2001,3673,3,747209
13087,10,1,2009,3241,0,750684
5096,9,7,2018,2827,2,693143
6927,6,2,2000,1658,2,457906
14843,3,10,1960,1194,2,323123
14343,6,3,1967,4812,0,818737
15874,9,6,1973,649,2,415022
7906,4,6,1983,4483,1,719501
6507,3,2,1991,2923,0,508716
19687,9,1,2008,3258,4,788215
14344,3,3,1993,1981,4,478162
7424,8,1,1985,3865,2,774735
9783,8,10,1982,2834,3,648696
19498,4,5,2010,4342,1,764087
16437,8,5,2019,3628,4,817654
15718,3,4,1994,1633,2,392023
17747,6,9,1958,1340,4,456832
6085,5,2,1953,1813,2,415938
18821,3,7,1975,1251,1,351844
16782,6,1,1969,3898,0,710797
18449,6,4,1966,3663,0,682992
9357,1,6,1964,1311,2,283522
6785,3,1,2009,2850,3,557863
6547,8,8,1997,543,0,334023
10386,4,3,1964,4995,4,820552
15869,2,5,1989,2446,2,462819
3564,4,7,2024,4244,0,694304
18378,10,9,1989,634,4,489757
9927,3,5,2000,4016,0,659347
13561,4,10,1959,3912,1,661093
4805,9,6,1963,1054,4,454123
18624,9,9,1965,666,3,447909
17405,1,7,1994,3558,2,599363
2532,6,2,1997,3324,1,644093
5396,10,6,2014,1592,0,531972
19891,6,3,1951,4306,3,797393
7972,3,2,2012,4249,0,682011
8605,1,4,2005,843,2,243135
18888,7,9,2008,4378,2,839123
8262,5,6,2005,891,2,345658
6078,6,7,2016,3776,3,750969
14669,6,3,2018,4564,3,857624
19015,5,2,2009,3977,0,734595
7913,9,5,1984,3131,0,666782
12745,5,5,1981,4152,4,770291
15962,3,8,1985,3379,3,604753
13552,10,7,1981,2749,0,659294
15310,6,9,2022,1810,0,485908
16358,1,3,1993,1050,1,285484
14003,6,7,2013,765,4,398736
16743,6,6,1973,4136,0,745755
6511,9,6,1977,3760,2,774617
11132,4,2,1983,712,1,287588
18965,7,9,1985,1464,2,495469
10529,8,4,2021,2839,3,684626
6018,3,2,2016,4203,1,705661
16585,2,6,1960,3346,0,539297
19765,5,5,2002,1790,1,491202
13845,9,4,2021,1494,1,553569
6550,4,8,2010,715,2,306604
14088,8,9,2007,1563,4,562898
4825,2,5,1961,3761,3,590320
15460,7,10,1978,1104,1,408648
4430,8,8,1981,4738,2,845855
7962,3,7,2024,4619,0,751109
6068,9,3,2010,2991,1,680931
12572,4,6,2004,4750,2,814635
4584,5,4,1995,2748,1,549992
11922,10,9,1984,1265,4,544269
7525,10,10,1982,1763,1,553320
13063,10,1,1965,732,0,405018
10672,4,10,1990,3912,4,712394
2992,8,9,2018,2872,2,658341
10024,7,5,1974,4215,0,765136
3963,3,8,2011,3904,3,666387
8685,6,10,2017,1676,2,493004
12463,6,7,1962,1571,2,437883
5479,6,4,1987,4321,0,736321
16732,4,3,1996,1293,0,365165
14587,10,7,1988,2533,1,678277
12729,10,6,2018,2055,1,629514
18866,8,8,1985,3027,3,695597
4950,7,9,1956,4245,1,733599
13563,1,1,1966,2804,3,485048
17420,5,9,1963,566,0,280200
6388,5,6,2023,3803,2,696406
15126,1,10,2010,2094,2,421786
11456,2,7,2006,4630,3,757315
11165,10,10,1973,1473,1,503823
14907,6,6,1982,3495,1,670243
18682,7,9,1964,829,0,353501
6490,6,8,2001,4754,3,832630
18892,3,6,1959,3109,1,548832
11805,10,6,1969,4655,4,936658
18051,10,5,2022,4390,0,913123
12854,2,7,1960,3020,0,490021
17551,5,10,1965,2364,0,502453
17743,3,9,1978,3614,1,633733
9936,1,10,2007,1400,1,291028
16451,6,7,1988,1740,3,508679
8681,7,9,1989,4363,0,789429
6524,9,4,1962,3162,3,699830
14347,6,3,1977,4265,4,799158
19900,6,5,1960,4466,1,786197
11142,9,5,1980,2342,2,625235
11470,4,8,2020,3097,3,620479
10960,5,2,1970,4949,3,847112
14928,6,3,2002,2879,0,604789
4589,6,8,2010,2600,3,577778
8621,9,5,1954,2725,1,609142
9840,4,1,1986,4850,1,787724
9629,1,2,2008,3885,2,627993
17479,2,3,1979,542,4,257352
15333,8,8,1975,2133,2,567483
11352,1,2,1964,2402,4,444701
3222,3,7,1969,1940,0,371566
15008,8,3,1968,2871,0,617747
11777,10,10,1957,1379,2,499735
16888,9,9,1989,4546,1,902771
18522,8,5,2006,2079,0,573181
7324,8,5,2009,2025,0,548809
13046,5,10,2001,2082,1,496797
15287,7,9,2014,3186,0,678015
5125,3,3,2006,4411,2,710123
2223,5,7,1955,2429,3,499348
10748,6,5,1991,593,2,344123
13781,4,1,1953,1468,3,380456
7233,7,9,1979,3047,0,616968
11667,6,10,1984,2309,1,515657
17669,3,8,1972,3560,3,642808
19997,8,9,2016,2289,1,632264
4682,9,8,1985,4826,2,883725
5676,1,9,2024,4640,1,699294
19585,3,3,2012,3187,4,641773
5808,4,10,2010,4504,0,745358
18723,8,1,2002,4214,1,846767
15612,8,10,1991,972,4,469427
12098,1,7,1970,2584,0,423312
9140,10,2,2002,871,3,484829
4089,9,1,1986,1065,3,445406
11407,7,3,2020,1609,3,520071
14533,8,7,2008,3577,0,753110
19671,3,6,1990,1471,1,384137
14879,9,3,1991,2324,0,619595
2744,5,8,2001,4960,3,833662
14428,4,4,2019,4273,2,753327
11032,4,2,2002,763,3,336405
2512,4,4,1974,1051,0,285318
3100,8,10,2013,898,1,413726
3449,7,8,1956,2419,4,546546
3849,3,9,1984,2869,1,507258
12449,10,10,1986,3126,1,723155
6694,9,4,2012,3887,2,807138
3997,9,10,1953,1934,3,535685
18240,1,6,1970,3622,4,600804
15642,7,3,2020,2956,3,688171
19626,8,4,2020,2346,2,661497
6730,8,1,1961,3880,3,763351
19366,3,7,1964,2489,2,485140
12822,2,8,1965,3539,0,553697
8241,1,5,2013,3589,4,611059
3295,2,4,2015,2277,3,440969
12910,5,1,2003,2235,1,525126
5844,8,4,2010,2175,3,605518
9842,9,6,2008,2818,3,702364
19486,6,5,1999,2642,2,618001
18294,8,2,2015,4346,2,896362
8656,6,6,1958,3890,0,679600
9250,3,1,2003,2636,4,543107
15683,5,3,2014,2107,2,521126
14446,10,4,1950,4590,4,926588
13061,5,8,1988,4518,3,789255
13540,3,3,1969,4977,3,783590
19764,1,9,2018,777,0,269236
3589,1,7,1994,1626,1,291814
6948,1,4,2020,4642,3,720113
3980,10,10,2008,4458,3,889815
2216,9,9,1974,3869,0,726176
19347,5,9,2023,2848,0,610157
16109,3,2,1979,1289,4,368086
9896,4,10,1955,4812,2,771840
13614,5,7,2010,1147,2,400286
17040,10,4,1999,2350,2,681734
4641,1,2,2013,3820,3,610082
17597,1,1,1966,1903,0,349830
16218,6,10,1962,1281,4,421368
9528,4,10,1962,4395,2,701109
4436,5,9,1951,769,1,281754
12305,1,4,2002,1681,3,356756
11806,3,10,1959,2469,4,499247
14751,9,6,1983,3644,1,782836
4569,9,6,2000,939,0,417709
9606,2,6,1992,3749,2,599268
10956,8,8,1990,2368,2,602149
14301,7,3,2019,3613,0,745465
11678,4,2,1958,1172,2,325127
14451,3,7,1986,3094,2,557424
4998,1,5,1961,4143,2,607401
10839,2,3,1962,1215,1,277539
16707,9,9,2006,4697,3,933445
2860,2,6,1988,1262,4,320016
12630,7,1,1955,2890,3,626897
4775,9,4,1957,4768,1,864541
14475,3,3,1995,2702,2,524960
18158,3,2,2005,1869,3,456796
15798,5,8,1981,1130,2,376041
10080,8,10,2022,2101,3,589465
6439,5,1,1971,3741,2,676114
14448,6,8,1960,3242,3,664105
6460,5,6,1980,2145,3,484075
7820,7,6,2024,2887,3,670970
9943,6,7,1979,2796,3,598009
5731,10,4,1982,4969,1,936411
2881,8,4,1982,4091,2,789402
4266,7,8,2009,1640,2,474728
10279,3,7,2019,3588,0,617812
17703,10,7,1959,4877,4,983545
15706,9,1,1994,3445,4,802676
4784,2,4,2004,3408,1,562712
3451,10,7,2008,3216,3,743644
2345,2,5,1975,2318,4,440167
18999,9,10,2011,2310,3,666256
14816,8,10,1980,4599,1,853631
2804,8,2,2023,2920,3,670025
5803,3,6,2023,3055,2,568329
8778,9,8,1987,3353,3,733492
16357,8,6,2000,1050,2,452535
5771,1,6,1951,1395,1,258777
9992,9,3,2013,1811,2,578541
15971,8,4,1979,3818,1,760380
16160,7,1,1978,2116,3,569705
16075,7,1,1982,2259,1,555525
4050,10,2,1962,4898,1,897496
12681,4,8,1989,1433,2,398180
18039,9,6,1954,3683,4,797139
5743,6,6,1966,4250,4,755682
11746,10,10,1987,1194,1,490380
5862,4,5,2003,1458,1,371678
6632,9,7,1975,3926,4,800033
14573,7,3,2019,4486,4,896461
7676,9,3,2017,4511,2,885045
8130,6,8,1971,939,2,339184
17879,3,4,2011,3645,4,692399
18219,7,8,1993,3904,3,795550
7480,2,10,2009,752,1,241451
3071,5,4,1968,4904,2,779604
16985,10,8,2000,4684,0,932801
5742,5,9,1961,3505,4,657081
3363,8,9,1951,2290,3,535544
10111,5,1,2018,4184,2,761735
4850,8,2,2008,2441,1,606435
13489,10,7,1983,1859,4,604009
8770,4,1,1997,3373,4,640380
19654,3,6,1979,2897,2,559569
10760,9,2,1953,1610,3,504822
11087,3,3,1978,2545,1,484871
12554,4,7,2009,4509,1,768363
10805,7,7,2002,4202,0,785517
5050,7,9,1967,2779,2,586629
17992,6,10,1954,520,0,303527
17022,6,2,2013,4878,3,893963
16078,4,8,1962,2699,2,543857
11292,6,9,2018,1569,4,512988
17903,6,1,1999,876,0,383047
17059,1,2,1997,1794,3,394016
2022,7,4,1969,1580,2,428075
10979,2,6,1962,2551,0,422841
7423,1,7,2002,3002,1,486674
4988,2,1,1954,2248,3,390977
6348,10,4,1977,4755,3,910548
2264,6,2,2006,3959,1,718325
4320,4,7,1996,1231,0,312361
12267,6,5,1997,1623,3,493005
6362,3,2,1957,4845,4,743363
7377,8,6,1985,2245,1,557021
16496,4,2,1965,1323,1,370904
6035,10,7,1961,3379,3,740190
6581,4,5,1952,1190,1,306776
11336,1,5,1992,2183,4,434955
18696,4,7,1966,2921,0,556591
9842,8,7,1958,1423,1,446556
4326,9,1,1977,3458,2,717362
14675,10,7,1992,3493,4,828663
7661,8,2,1950,636,4,363515
2451,5,4,1968,826,0,284736
15040,9,5,2019,4604,3,940179
15181,2,9,1972,4904,4,765126
11092,2,5,1953,1147,4,290474
7091,9,6,1951,3700,4,771857
4166,5,7,1980,2454,0,475489
4825,7,2,1952,4214,4,778705
3803,5,3,1983,1478,0,376865
6496,1,3,1966,4566,2,659845
18948,5,3,2017,3546,1,711032
10806,2,1,1958,3244,3,537510
19165,2,5,2007,1131,3,352230
18737,6,1,2015,4592,4,877219
14048,3,5,2007,1342,4,406373
5779,4,9,1955,521,0,222494
2402,4,1,2008,4364,2,728335
6917,3,1,1957,3935,1,610595
10135,7,6,2001,2722,0,603573
14216,2,9,1963,931,1,244581
18900,1,7,2006,1064,3,330058
11250,5,6,1960,1207,4,386556
2261,6,4,1968,2888,4,604449
11958,10,4,1966,4300,2,871062
18166,4,9,2024,2508,1,537366
15436,1,4,1998,4936,2,759866
2314,6,1,2008,3582,2,675088
8723,9,4,1962,3939,3,784411
6665,5,2,2020,859,1,359477
19031,7,6,2005,4255,0,817723
5131,9,3,1979,3730,0,744088
4040,7,3,1993,2439,2,560252
12322,7,6,2001,3105,3,682277
9654,2,4,1962,1615,4,346932
7092,2,3,2004,4182,3,676106
15320,2,9,1982,3435,1,571068
12102,8,5,1969,1482,0,447010
11968,10,1,1958,2261,2,606984
4988,4,6,1960,3746,4,634088
11792,5,3,2005,754,3,372359
16817,9,9,1997,2546,0,644211
5339,3,2,2021,597,0,260666
9283,3,4,2021,3781,2,672857
4753,10,10,1965,2620,0,601373
4112,4,8,1995,1555,0,375593
12864,2,1,1956,4276,0,626516
16193,7,8,1989,741,3,413086
15980,3,6,1963,2258,1,437310
11170,8,3,1969,783,4,424459
10053,5,8,1978,3875,4,717255
3998,2,5,1994,3637,1,571871
8535,9,4,1964,4953,0,881698
13767,8,9,2023,4470,2,900507
18462,6,7,2004,2715,1,598740
12448,10,4,1984,740,2,442263
17456,9,6,1973,2406,1,611769
10121,4,5,1989,4871,0,783619
9189,10,7,1994,3406,1,750757
9751,10,6,1973,3439,4,771257
13523,10,10,2022,1664,4,612017
18129,9,5,1958,1938,3,568090
4957,1,4,1953,2292,0,347561
17662,1,6,2017,2150,1,424751
7815,6,1,1998,679,1,339047
6641,2,9,2008,3489,0,557744
14962,10,2,1970,3257,2,750297
6471,3,7,1989,4491,2,705741
13692,4,10,2022,1936,3,487049
11650,3,3,1956,514,4,250761
3061,3,10,1970,3106,4,538141
5411,8,3,1960,3212,0,630971
13364,6,3,2006,1226,2,434147
2373,5,4,2012,2544,0,511483
10410,2,1,2003,894,3,295769
15751,3,7,1977,4539,3,747542
19892,7,2,1994,4427,4,884446
9391,3,8,1964,1103,0,267396
2657,6,5,2012,1357,0,394111
7574,7,3,1955,1114,4,426331
5050,6,10,2000,4454,0,763763
7406,10,7,1950,1786,0,501356
12849,4,4,1988,3852,4,715846
19698,5,5,1967,2936,1,577656
3626,7,10,1987,4521,1,781784
13823,1,7,1965,1217,2,287006
17739,4,2,2013,710,1,320414
11562,2,8,1972,1446,2,336524
15024,8,8,1998,2670,0,635904
19829,7,3,2014,3539,3,771971
8113,8,1,1959,2656,3,615998
10631,4,5,1955,1004,1,305522
5168,2,6,1952,4935,3,732091
9455,9,1,1959,3671,4,777302
19547,8,10,2023,2430,3,664433
4587,7,1,2023,4613,4,892727
18935,10,10,2003,1707,0,588856
16714,3,3,1964,2235,1,434176
3398,7,2,1952,4066,1,727667
6845,10,5,1971,3119,0,676966
14717,9,7,1996,3171,2,739000
17012,1,10,2005,4780,3,743323
15580,3,3,1981,1320,0,336878
5309,5,9,2001,3316,3,634802
14551,8,10,2000,4375,0,824295
11024,7,3,1993,3790,0,723741
12862,4,1,1992,4392,2,767119
14204,1,6,1959,2982,2,477838
18109,2,4,2017,1600,2,411297
16519,6,5,1994,3914,4,786090
4925,4,8,1968,2231,3,468174
17874,9,6,1963,960,4,490157
7209,2,5,1982,4651,3,708291
19179,10,1,1972,1923,1,611074
8577,1,4,1959,770,3,200987
13808,4,5,2013,3517,3,678915
15007,2,1,2022,2481,2,504857
16617,3,8,2022,3365,2,626609
10475,2,5,1990,724,3,250431
7338,10,4,2006,2313,1,641580
8774,5,7,2010,4704,0,803634
2291,8,3,1988,1918,4,555175
2277,4,5,1957,3002,2,523058
14336,6,8,2014,2564,1,590180
11900,9,10,1989,3753,4,803612
2240,9,6,2007,2815,2,673546
5542,8,2,1957,3254,2,671697
12654,5,5,1986,2947,1,574814
18950,4,1,1961,3810,2,683657
6585,1,8,2009,2921,2,507192
15715,7,7,2007,789,4,445127
8223,6,4,1991,4879,3,871654
13747,9,5,2014,1892,4,610916
11626,2,8,1957,1548,2,335000
7998,6,2,1963,2320,2,508112
12062,7,6,1960,3544,2,699653
11635,8,2,1955,4354,0,803774
4333,8,4,2006,4599,0,851105
14506,9,5,2017,3884,0,829233
6940,3,4,1996,3307,3,597118
16993,3,6,1986,1977,0,419996
12899,3,6,2002,975,0,299109
10962,4,3,1956,1797,3,428555
4884,3,10,1958,4052,3,641510
16058,8,7,1962,538,0,351324
8534,6,1,1986,3139,4,649826
2587,1,4,1969,2353,2,377547
6224,2,7,1960,4623,4,700962
7472,2,1,1994,2942,2,514095
19048,10,9,2000,3267,3,814781
6384,6,8,1960,3442,1,618594
15218,1,4,2021,2337,1,439814
2718,10,9,1992,1884,0,540346
3224,7,5,2017,4880,4,885964
3571,2,1,2004,895,0,239469
16559,7,2,1952,4983,2,877782
7017,4,1,1989,2966,3,580352
5308,9,5,1977,1623,3,533002
5437,9,10,2012,1464,2,504326
5482,8,4,1978,2136,2,559412
19142,4,6,1969,3856,2,676601
3291,9,8,1987,2201,3,586426
9684,1,1,2014,1229,0,294600
18190,3,2,1993,4691,0,764599
5319,5,4,1998,4241,2,733931
17213,1,2,1970,1931,0,366285
11521,6,6,1971,3989,0,695155
3503,1,3,1955,1896,2,316244
16343,10,5,1996,1261,2,550353
13230,3,2,2006,3783,3,678409
10907,7,8,2007,3954,1,754505
6342,1,3,2018,1349,3,339665
17816,10,8,1989,1984,4,644171
13750,10,1,1974,1570,3,565344
5700,7,8,2023,876,0,375192
12296,1,9,2009,2334,2,440677
19141,10,2,1998,4045,1,873014
13329,7,3,1970,947,0,379209
7142,9,8,1967,4561,1,832799
18110,6,4,1956,3210,2,632979
18611,4,9,1997,3601,3,698827
9700,2,8,2016,4138,4,702143
4884,8,8,1986,3089,0,641429
2582,2,7,1970,3877,0,568742
19992,1,2,2007,2995,4,570402
8778,8,6,2005,3476,0,726211
9304,8,6,1978,4375,2,834771
16828,2,2,1994,2316,0,438789
13637,5,9,2003,4776,2,838937
5483,1,3,2000,4533,1,677839
15409,2,5,1980,2104,1,401163
14874,4,8,1960,2061,2,438473
15581,1,10,1978,1509,3,336210
18521,3,8,1990,535,4,309887
3591,9,7,1992,4456,4,889187
7806,10,3,1967,1551,0,499332
12546,9,7,1986,3929,4,845110
10134,5,7,1967,3308,2,616300
6370,3,7,2007,4696,2,766355
19950,6,9,1960,2280,1,520821
11521,6,3,1982,1956,4,524159
12563,2,6,1969,4435,4,713787
15679,9,5,1964,3960,0,788065
5488,1,7,1980,1690,0,301726
3854,4,5,1965,1818,2,400615
10210,3,1,1980,2917,1,530863
19733,1,6,2008,4207,0,667627
9350,9,7,1964,2446,4,642970
11425,1,7,2018,3674,3,627879
12245,9,1,2015,606,2,431609
16518,4,6,1968,4977,4,827631
8340,5,8,2004,1953,0,444706
7694,9,2,1995,3590,0,742923
11145,9,5,2023,1565,1,548271
10356,1,6,1973,4320,1,618176
7036,6,10,2017,916,4,420256
11868,8,10,1958,3433,0,689655
12415,9,4,1999,2006,4,605399
18552,3,7,1955,4948,4,801135
5012,6,4,1997,2247,2,520124
13822,5,4,1952,4845,3,816859
2288,2,6,1958,4150,1,614902
9989,1,6,1980,3624,0,538491
10407,9,5,2024,702,4,487099
14286,9,9,1967,4150,3,827394
11713,4,6,1995,4709,0,751363
7485,9,9,1972,560,0,349661
8985,7,2,2011,2184,4,601991
